Ping     Download     Upload    Data
20.766    34.46        20.58     Wed Mar  2 19:31:07 2016

22.636    33.28        22.58     Wed Mar  2 19:31:07 2016

23.775    34.16        22.74     Wed Mar  2 19:31:07 2016

22.06    20.22        22.54     Wed Mar  2 19:31:07 2016

25.481    16.07        20.28     Wed Mar  2 19:31:07 2016

21.915    32.93        18.19     Wed Mar  2 19:31:07 2016

24.615    33.26        22.55     Wed Mar  2 19:31:07 2016

20.681    33.01        20.02     Wed Mar  2 19:31:07 2016

20.91    35.13        20.93     Wed Mar  2 19:31:07 2016

24.495    34.97        22.17     Wed Mar  2 19:31:07 2016

21.48    32.86        17.40     Wed Mar  2 19:31:07 2016

20.636    35.51        20.64     Wed Mar  2 19:31:07 2016

24.399    34.05        23.16     Wed Mar  2 19:31:07 2016

22.633    27.84        22.34     Wed Mar  2 19:31:07 2016

21.456    33.13        21.41     Wed Mar  2 19:31:07 2016

23.409    35.57        23.02     Wed Mar  2 19:31:07 2016

22.089    35.73        21.46     Wed Mar  2 19:31:07 2016

22.751    17.95        21.04     Wed Mar  2 19:31:07 2016

21.365    34.23        7.84     Wed Mar  2 19:31:07 2016

20.674    33.18        19.04     Wed Mar  2 19:31:07 2016

22.341    26.40        22.24     Wed Mar  2 19:31:07 2016

23.954    34.07        23.24     Wed Mar  2 19:31:07 2016

20.003    35.76        22.19     Wed Mar  2 19:31:07 2016

25.188    27.79        21.68     Wed Mar  2 19:31:07 2016

21.068    34.14        16.68     Wed Mar  2 19:31:07 2016

20.825    34.44        23.27     Wed Mar  2 19:31:07 2016

28.241    33.16        19.74     Wed Mar  2 19:31:07 2016

21.664    33.79        23.21     Wed Mar  2 19:31:07 2016

20.823    34.08        20.69     Wed Mar  2 19:31:07 2016

20.895    34.30        21.45     Wed Mar  2 19:31:07 2016

21.966    35.49        16.92     Wed Mar  2 19:31:07 2016

22.208    36.06        22.41     Wed Mar  2 19:31:07 2016

20.836    32.54        23.34     Wed Mar  2 19:31:07 2016

22.456    34.92        22.70     Wed Mar  2 19:31:07 2016

22.968    34.34        20.89     Wed Mar  2 19:31:07 2016

22.593    35.71        19.81     Wed Mar  2 19:31:07 2016

23.172    19.09        20.46     Wed Mar  2 19:31:07 2016

21.534    33.13        21.88     Wed Mar  2 19:31:07 2016

22.357    33.85        22.16     Wed Mar  2 19:31:07 2016

23.688    33.98        23.11     Wed Mar  2 19:31:07 2016

20.994    35.95        18.78     Wed Mar  2 19:31:07 2016

23.29    34.07        23.01     Wed Mar  2 19:31:07 2016

21.449    34.23        21.89     Wed Mar  2 19:31:07 2016

22.31    35.61        22.89     Wed Mar  2 19:31:07 2016

21.205    34.38        20.36     Wed Mar  2 19:31:07 2016

22.394    33.90        21.68     Wed Mar  2 19:31:07 2016

25.204    34.58        21.46     Wed Mar  2 19:31:07 2016

24.377    32.54        16.98     Wed Mar  2 19:31:07 2016

22.806    34.32        21.54     Wed Mar  2 19:31:07 2016

22.452    32.98        20.37     Wed Mar  2 19:31:07 2016

26.184    30.24        18.47     Wed Mar  2 19:31:07 2016

24.61    34.06        20.35     Wed Mar  2 19:31:07 2016

